epoch;accuracy;learning_rate;loss;val_accuracy;val_loss;;;;;;precision;recall;f1-score;support
0;0,5;0,001;12.210.187.911.987.300;0,50666666;1.566.064.715.385.430;;;;;;;;;
1;0,13333334;0,001;11.644.294.261.932.300;0,625;10.110.312.700.271.600;;;;;Bad;0.97;0.74;0.84;47
2;0,630573273;0,001;0,684206367;0,519999981;10.403.283.834.457.300;;;;;Good;0.83;0.98;0.90;58
3;0,400000006;0,001;0,70345217;0,5;0,868499756;;;;;;;;;
4;0,67197454;0,0005;0,627076924;0,560000002;0,852768064;;;;;accuracy;;;0.88;105
5;0,800000012;0,0005;0,533271551;0,625;10.263.018.608.093.200;;;;;macro avg;0.90;0.86;0.87;105
6;0,767515898;0,00025;0,514239192;0,639999986;0,842324853;;;;;weighted avg;0.89;0.88;0.87;105
7;0,733333349;0,00025;0,515832126;0,75;0,783719182;;;;;;;;;
8;0,738853514;0,00025;0,510168612;0,653333306;0,72312057;;;;;;;;;
9;0,733333349;0,00025;0,56496489;1;0,137169734;;;;;;;;;
10;0,74203819;0,00025;0,534703851;0,653333306;0,736108601;;;;;;;;;
11;0,866666675;0,00025;0,473070651;0,5;0,868446469;;;;;;;;;
12;0,780254781;0,000125;0,480799437;0,786666691;0,505840123;;;;;;;;;
13;0,800000012;0,000125;0,483564705;0,75;0,56346041;;;;;;;;;
14;0,786624193;6,25E+09;0,44888413;0,75999999;0,597197115;;;;;;;;;
15;0,733333349;6,25E+09;0,536009789;0,875;0,409992903;;;;;;;;;
16;0,796178341;3,13E+10;0,432791501;0,75999999;0,560428023;;;;;;;;;
17;0,866666675;3,13E+10;0,327884793;1;0,092055157;;;;;;;;;
18;0,815286636;1,56E+11;0,427512795;0,800000012;0,449087381;;;;;;;;;
19;0,933333337;1,56E+11;0,339288771;0,625;0,687540829;;;;;;;;;
20;0,82802546;1,00E+10;0,41391468;0,800000012;0,439136207;;;;;;;;;
21;0,866666675;1,00E+10;0,40461731;0,75;0,532062232;;;;;;;;;
22;0,824840784;1,00E+10;0,396918118;0,800000012;0,410577893;;;;;;;;;
23;0,600000024;1,00E+10;0,673165917;0,75;0,513634622;;;;;;;;;
24;0,805732489;1,00E+10;0,418000638;0,813333333;0,391250372;;;;;;;;;
25;0,933333337;1,00E+10;0,247661009;0,75;0,409013808;;;;;;;;;
26;0,818471313;1,00E+10;0,392461956;0,826666653;0,385768116;;;;;;;;;
27;0,933333337;1,00E+10;0,305561483;0,875;0,401648819;;;;;;;;;
